Year,SOURCE_DETAIL,SDG Series,Source details,Value
2015,Environment Live,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Environment Live,16.67
2020,Environment Live,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Environment Live,20.0
2020,Environment Live,"Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (% average value) [12.4.1]",Environment Live,66.67
2015,World Environment Situation Room,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],World Environment Situation Room,100.0
2020,World Environment Situation Room,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],World Environment Situation Room,100.0
2015,Environment Live,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],Environment Live,39.22
2020,Environment Live,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],Environment Live,34.48
2015,Environment Live,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],Environment Live,50.0
2020,Environment Live,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],Environment Live,75.0
