Year,Value
1980,15.75018
1981,22.82297
1982,17.08271
1983,22.72226
1984,29.79475
1985,41.13968
1986,40.24063
1987,47.21102
1988,74.59488
1989,66.11816
1990,78.63517
1991,72.26152
1992,56.93561
1993,45.00558
1994,27.00718
1995,19.53817
1996,17.87581
1997,19.70107
1998,20.24803
1999,17.90054
2000,10.00304
2001,6.55499
2002,9.60768
2003,10.43436
2004,8.68129
2005,10.61735
2006,5.28811
2007,2.50764
2008,2.13634
2009,1.99589
2010,1.76119
2011,1.47435
2012,1.35791
2013,1.63642
2014,1.97689
2015,1.84505
2016,2.09904
2017,3.45792
2018,5.2543
2019,4.4543
2020,5.46649
